Location,Date,Min Delay,stop_lat,stop_lon,stop_id,predictions
1415 MORNINGSIDE AVE,2023-12-26,7.0,43.810785,-79.203418,2,4.63153
156 DUNCAN MILL RD,2023-10-16,14.0,43.761758,-79.355471,3,5.86991
185 YORKLAND BLVD,2023-10-21,0.0,43.771262,-79.335442,4,7.0785446
375 DANFORTH RD,2023-12-27,15.0,43.704862,-79.269264,9,4.5271835
395 PASSMORE AVE,2023-10-17,9.0,43.829092,-79.25692,11,6.6258097
400 EVANS AVE,2023-10-13,13.0,43.615254,-79.528238,12,7.2636843
400 EVANS AVE,2023-11-24,9.0,43.615254,-79.528238,12,7.2636843
4600 BATHURST ST,2023-12-26,7.0,43.762602,-79.44037,14,4.8898335
4770 SHEPPARD AVE EAST,2023-10-23,10.0,43.790724,-79.25407,15,5.874069
480 GORDON BAKER RD,2023-10-23,17.0,43.809298,-79.345222,16,4.869404
5800 YONGE ST,2023-10-10,7.0,43.784107,-79.416819,18,5.2397203
6070 KINGSTON RD,2023-12-14,19.0,43.783338,-79.169415,20,4.3810096
700 ARROW RD,2023-10-16,10.0,43.745714,-79.529601,21,5.758482
700 ARROW RD,2023-10-18,18.0,43.745714,-79.529601,21,5.758482
80 COSBURN AVE,2023-11-20,0.0,43.689059,-79.350949,23,4.31118
8600 MCCOWAN RD,2023-12-02,30.0,43.874177,-79.286079,25,6.1720514
ALBION RD AT WESTON RD,2023-10-29,20.0,43.717248,-79.53827,27,5.4711237
BATHURST STATION,2023-10-02,9.666666666666666,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-03,9.666666666666666,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-04,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-05,9.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-06,9.5,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-08,12.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-09,8.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-10,9.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-12,9.25,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-13,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-14,0.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-15,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-16,11.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-18,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-19,9.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-20,8.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-25,9.5,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-26,11.666666666666666,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-28,8.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-29,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-10-31,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-01,11.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-02,9.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-03,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-04,8.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-05,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-06,7.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-08,8.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-09,8.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-10,9.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-11,7.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-12,8.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-13,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-14,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-15,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-16,9.333333333333334,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-17,8.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-18,7.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-19,8.5,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-22,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-23,9.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-24,9.5,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-25,12.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-28,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-29,9.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-11-30,10.0,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-12-02,9.5,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-12-03,8.5,43.666061,-79.411065,30,10.527669
BATHURST STATION,2023-12-04,9.25,43.666061,-79.411065,30,10.527669
